ds,yhat,yhat_lower,yhat_upper
2023-05-09,438.95795621859753,-290.1191918316947,1214.4748272817117
2023-05-09,438.95795621859753,-283.1711615707054,1156.7362431647496
2023-05-10,434.9202269761554,-257.1175455970104,1140.6337077055687
2023-05-10,434.9202269761554,-307.3182700508482,1191.2562624596678
2023-05-11,455.0874960077398,-241.4593250818716,1163.908315041794
2023-05-12,468.12159649594133,-271.9656338845563,1194.7963205108817
2023-05-13,529.3281395589383,-161.5153976798567,1247.6815319151674
2023-05-13,529.3281395589383,-230.82478945505645,1232.1166839170162
2023-05-14,447.9653149263368,-296.4492338193695,1160.340171626244
2023-05-14,447.9653149263368,-244.0285966504231,1162.8083217056583
2023-05-14,447.9653149263368,-238.01027217816903,1156.2216766984284
2023-05-15,487.4831167285596,-300.2071800165868,1179.5485343599203
2023-05-15,487.4831167285596,-264.61568513544375,1278.4317864211316
2023-05-15,487.4831167285596,-255.03916581809588,1184.4547399073635
2023-05-16,439.1456510773426,-228.59957452294154,1134.2108046108754
2023-05-16,439.1456510773426,-247.43197647169717,1169.2465579585107
2023-05-16,439.1456510773426,-317.6428047714684,1171.601535216816
2023-05-16,439.1456510773426,-299.718431939269,1192.3696639127343
2023-05-16,439.1456510773426,-311.8091417235333,1135.244656807208
2023-05-16,439.1456510773426,-301.5123609864398,1144.8501694365962
2023-05-16,439.1456510773426,-281.7180763937412,1144.195623960302
2023-05-16,439.1456510773426,-204.417042670298,1136.6105477184205
2023-05-16,439.1456510773426,-323.3795953061849,1160.5796100056311
2023-05-16,439.1456510773426,-244.4033298591071,1185.4568720496723
2023-05-16,439.1456510773426,-206.30107412426315,1166.128630282537
2023-05-17,435.10792183442135,-266.71000799718587,1187.6521376940925
2023-05-17,435.10792183442135,-260.7111543951304,1147.7309482174073
2023-05-17,435.10792183442135,-249.48502651648892,1107.6716370770853
2023-05-18,455.2751908661493,-262.55772841755794,1155.6677093543296
2023-05-18,455.2751908661493,-266.63754121180665,1201.9726803376047
2023-05-19,468.309291354471,-282.6011168434592,1204.732912211638
2023-05-19,468.309291354471,-233.15219672476707,1182.4514433968695
2023-05-19,468.309291354471,-314.2979758534216,1212.3316041723122
2023-05-20,529.5158344183345,-172.6641152581152,1300.807911684694
2023-05-20,529.5158344183345,-188.05319894661326,1273.3483803992422
2023-05-20,529.5158344183345,-120.12638544119551,1217.7955741310852
2023-05-21,448.1530097864286,-288.1631661803473,1164.356818979663
2023-05-21,448.1530097864286,-202.26866089107907,1210.4287381351967
2023-05-21,448.1530097864286,-273.2641066996189,1212.2769876934674
2023-05-22,487.6708115894625,-214.45619462759112,1189.7611145792255
2023-05-22,487.6708115894625,-254.97214262492548,1200.6862194716414
2023-05-22,487.6708115894625,-259.01059198330665,1186.9597944546651
2023-05-22,487.6708115894625,-185.063331378943,1197.235622387567
2023-05-23,439.3333459389209,-309.37694285386425,1159.1037881171328
2023-05-23,439.3333459389209,-276.88930308661656,1152.8728892037732
2023-05-23,439.3333459389209,-254.57306465813232,1189.7795467058763
2023-05-23,439.3333459389209,-258.3608966910437,1117.4036321264782
2023-05-23,439.3333459389209,-306.58862908761074,1176.8111170242737
2023-05-23,439.3333459389209,-280.43188182589614,1107.2358846415184
2023-05-23,439.3333459389209,-249.4369575126311,1096.7999213845133
2023-05-23,439.3333459389209,-325.833083421563,1197.9936572879953
2023-05-23,439.3333459389209,-272.12476463553156,1216.833522126243
2023-05-24,435.2956166971081,-279.67575301513835,1148.049379434231
2023-05-25,455.4628857295545,-248.71853959604587,1233.250621771624
2023-05-25,455.4628857295545,-260.31511276200246,1190.4079729963255
2023-05-25,455.4628857295545,-231.58794559217398,1160.1132544904626
2023-05-26,468.4969862184441,-224.6943321242721,1218.402791238301
2023-05-26,468.4969862184441,-191.7238319914644,1207.56395783705
2023-05-26,468.4969862184441,-238.6912491705592,1145.3565613866454
2023-05-27,529.7035292824711,-195.25548849181575,1230.5180653365715
2023-05-27,529.7035292824711,-226.0432436858222,1263.0240081341253
2023-05-27,529.7035292824711,-204.00416628488856,1217.0270602533988
2023-05-28,448.34070465058215,-257.28210768231224,1228.8247780164838
2023-05-29,487.8585064536836,-230.93704419015575,1173.3403161074523
